acc_x,acc_y,acc_z
0.001,0.014,-0.003
0.001,0.015,-0.002
0.002,0.015,-0.002
0.002,0.015,-0.001
0.002,0.016,-0.0
0.002,0.016,-0.0
0.002,0.016,0.0
0.002,0.016,0.0
0.002,0.016,0.001
0.002,0.016,0.001
0.002,0.016,0.001
0.003,0.016,0.001
0.003,0.016,0.001
0.003,0.015,0.001
0.003,0.015,0.001
0.003,0.015,0.001
0.003,0.015,0.001
0.003,0.015,0.001
0.003,0.015,0.001
0.003,0.014,0.001
0.003,0.014,0.001
0.003,0.016,-0.001
0.003,0.017,-0.002
0.003,0.018,-0.003
0.003,0.018,-0.004
0.003,0.019,-0.005
0.003,0.019,-0.005
0.003,0.02,-0.006
0.003,0.02,-0.006
0.003,0.02,-0.006
0.003,0.02,-0.006
0.003,0.02,-0.006
0.003,0.019,-0.005
0.004,0.019,-0.005
0.004,0.019,-0.004
0.004,0.019,-0.004
0.004,0.018,-0.004
0.004,0.018,-0.004
0.004,0.018,-0.003
0.004,0.018,-0.003
0.004,0.018,-0.003
0.003,0.016,-0.003
0.002,0.015,-0.003
0.001,0.014,-0.002
0.001,0.013,-0.002
0.0,0.013,-0.002
-0.0,0.012,-0.002
-0.0,0.012,-0.002
-0.001,0.011,-0.002
-0.001,0.011,-0.002
-0.001,0.011,-0.002
-0.001,0.011,-0.002
-0.001,0.012,-0.002
-0.001,0.012,-0.002
-0.001,0.012,-0.002
-0.001,0.013,-0.002
-0.001,0.013,-0.002
-0.001,0.013,-0.002
-0.001,0.013,-0.002
-0.001,0.013,-0.002
-0.001,0.013,-0.002
0.003,0.015,-0.001
0.006,0.017,0.001
0.008,0.018,0.002
0.01,0.019,0.002
0.012,0.019,0.003
0.013,0.02,0.003
0.014,0.02,0.004
0.015,0.021,0.004
0.016,0.021,0.004
0.016,0.021,0.005
0.015,0.021,0.003
0.013,0.021,0.001
0.012,0.021,0.0
0.011,0.021,-0.001
0.01,0.021,-0.001
0.01,0.021,-0.002
0.009,0.021,-0.002
0.009,0.021,-0.003
0.008,0.021,-0.003
0.008,0.021,-0.003
0.008,0.02,-0.003
0.008,0.02,-0.002
0.008,0.02,-0.002
0.008,0.02,-0.002
0.008,0.02,-0.001
0.008,0.019,-0.001
0.008,0.019,-0.001
0.008,0.019,-0.001
0.008,0.019,-0.001
0.008,0.019,-0.001
0.007,0.019,-0.002
0.006,0.019,-0.003
0.005,0.019,-0.003
0.004,0.019,-0.004
0.004,0.019,-0.004
0.003,0.019,-0.005
0.003,0.019,-0.005
0.003,0.019,-0.005
0.003,0.019,-0.005
0.003,0.019,-0.005
0.003,0.019,-0.004
0.004,0.019,-0.003
0.004,0.018,-0.003
0.005,0.018,-0.002
0.005,0.018,-0.001
0.005,0.018,-0.001
0.006,0.018,-0.001
0.006,0.018,-0.0
0.006,0.018,-0.0
0.006,0.018,-0.0
0.006,0.02,-0.0
0.006,0.021,-0.0
0.006,0.022,-0.0
0.006,0.023,0.0
0.006,0.023,0.0
0.006,0.024,0.0
0.005,0.024,0.0
0.005,0.025,0.0
0.005,0.025,0.0
0.005,0.025,0.0
0.005,0.024,-0.001
0.005,0.024,-0.002
0.005,0.023,-0.002
0.005,0.023,-0.003
0.005,0.023,-0.003
0.005,0.022,-0.003
0.005,0.022,-0.004
0.005,0.022,-0.004
0.005,0.022,-0.004
0.005,0.022,-0.004
0.005,0.021,-0.003
0.004,0.021,-0.002
0.004,0.02,-0.002
0.004,0.02,-0.001
0.003,0.02,-0.001
0.003,0.02,-0.0
0.003,0.019,-0.0
0.003,0.019,0.0
0.003,0.019,0.0
0.003,0.019,0.001
0.003,0.019,-0.001
0.003,0.018,-0.002
0.003,0.018,-0.003
0.004,0.018,-0.004
0.004,0.017,-0.004
0.004,0.017,-0.005
0.004,0.017,-0.005
0.004,0.017,-0.006
0.004,0.017,-0.006
0.004,0.017,-0.006
0.004,0.017,-0.005
0.004,0.018,-0.005
0.004,0.018,-0.004
0.004,0.018,-0.004
0.004,0.018,-0.004
0.004,0.018,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.019,-0.003
0.003,0.019,-0.003
0.003,0.019,-0.003
0.003,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.003,0.019,-0.002
0.004,0.018,-0.003
0.004,0.017,-0.004
0.004,0.017,-0.005
0.005,0.016,-0.005
0.005,0.016,-0.006
0.005,0.016,-0.006
0.005,0.016,-0.006
0.006,0.015,-0.006
0.006,0.015,-0.007
0.006,0.015,-0.007
0.005,0.015,-0.007
0.004,0.015,-0.006
0.004,0.014,-0.006
0.003,0.014,-0.006
0.003,0.014,-0.006
0.003,0.014,-0.006
0.002,0.014,-0.006
0.002,0.014,-0.006
0.002,0.014,-0.006
0.002,0.014,-0.006
0.002,0.014,-0.005
0.003,0.015,-0.005
0.003,0.016,-0.004
0.004,0.016,-0.004
0.004,0.016,-0.003
0.004,0.017,-0.003
0.004,0.017,-0.003
0.004,0.017,-0.003
0.004,0.017,-0.003
0.004,0.017,-0.003
0.005,0.016,-0.002
0.005,0.016,-0.002
0.005,0.016,-0.002
0.005,0.015,-0.002
0.005,0.015,-0.001
0.005,0.015,-0.001
0.006,0.015,-0.001
0.006,0.014,-0.001
0.006,0.014,-0.001
0.006,0.014,-0.001
0.005,0.015,-0.002
0.005,0.015,-0.002
0.004,0.015,-0.003
0.004,0.016,-0.003
0.004,0.016,-0.003
0.004,0.016,-0.003
0.004,0.016,-0.003
0.004,0.016,-0.004
0.003,0.016,-0.004
0.003,0.017,-0.004
0.004,0.015,-0.003
0.005,0.015,-0.003
0.005,0.014,-0.003
0.006,0.013,-0.002
0.006,0.013,-0.002
0.006,0.012,-0.002
0.006,0.012,-0.002
0.007,0.012,-0.002
0.007,0.012,-0.002
0.007,0.012,-0.002
0.006,0.013,-0.002
0.006,0.015,-0.003
0.006,0.016,-0.003
0.005,0.016,-0.003
0.005,0.017,-0.003
0.005,0.018,-0.003
0.005,0.018,-0.004
0.005,0.018,-0.004
0.005,0.019,-0.004
0.005,0.019,-0.004
0.005,0.019,-0.005
0.005,0.019,-0.005
0.005,0.019,-0.006
0.005,0.019,-0.007
0.005,0.019,-0.007
0.005,0.019,-0.007
0.005,0.019,-0.007
0.005,0.019,-0.008
0.005,0.019,-0.008
0.005,0.019,-0.008
0.005,0.02,-0.009
0.005,0.02,-0.01
0.005,0.02,-0.011
0.005,0.02,-0.012
0.005,0.02,-0.013
0.005,0.02,-0.013
0.005,0.02,-0.013
0.005,0.021,-0.014
0.005,0.021,-0.014
0.005,0.021,-0.014
0.004,0.021,-0.013
0.004,0.021,-0.013
0.004,0.021,-0.012
0.003,0.021,-0.012
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.011
0.003,0.021,-0.01
0.003,0.021,-0.01
0.003,0.02,-0.009
0.003,0.019,-0.008
0.004,0.018,-0.008
0.004,0.018,-0.007
0.004,0.017,-0.006
0.004,0.017,-0.006
0.004,0.016,-0.006
0.004,0.016,-0.006
0.004,0.016,-0.005
0.004,0.016,-0.005
0.004,0.017,-0.004
0.004,0.018,-0.004
0.004,0.019,-0.003
0.004,0.019,-0.003
0.004,0.02,-0.002
0.005,0.02,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.005,0.021,-0.002
0.006,0.021,-0.002
0.006,0.021,-0.002
0.006,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.007,0.021,-0.002
0.006,0.02,-0.003
0.004,0.019,-0.003
0.003,0.018,-0.003
0.002,0.018,-0.004
0.002,0.017,-0.004
0.001,0.017,-0.004
0.001,0.016,-0.004
0.001,0.016,-0.004
0.0,0.016,-0.004
0.0,0.016,-0.004
